name,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,Borough
Clean and Comfortable Place to Rest in NYC!,100%,100%,2.0,2.0,t,Harlem,40.80406,-73.95206,2,1.0,1.0,$100.00 ,2,29,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,122,13,0,4.85,4.92,4.9,4.96,4.94,4.62,4.81,1,0,1,0,3.09,1,1,1,1,Manhattan
Harlem Retreat Living Room NYC,100%,,1.0,1.0,t,Harlem,40.80188,-73.94656,3,1.0,1.0,$65.00 ,30,1000,30.0,30.0,1000.0,1000.0,30.0,1000.0,29,59,89,364,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,1,0.04,0,1,1,0,Manhattan
Inexpensive Pvt Rm NYC / SIUH/ Rumc,100%,98%,6.0,6.0,t,Arrochar,40.59697,-74.08324,1,1.0,2.0,$45.00 ,4,28,6.0,6.0,1125.0,1125.0,6.0,1125.0,7,28,58,147,28,12,0,4.68,4.82,4.75,4.93,4.86,4.86,4.82,5,0,5,0,0.66,0,1,1,0,Staten Island
"Cosy,Elegant 1 Bedroom Apartment in heart of UES!",0%,0%,1.0,1.0,t,Upper East Side,40.77709,-73.95517,2,1.0,1.0,$153.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,16,0,0,4.4,4.6,4.47,4.6,4.73,4.8,4.47,2,2,0,0,0.4,0,1,1,0,Manhattan
Wild West Retreat in The Heart of Brooklyn,100%,88%,2.0,2.0,t,Bedford-Stuyvesant,40.68906,-73.95706,2,1.0,1.0,$129.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,2,2,2,2,87,10,5,4.95,4.93,4.94,4.98,4.98,4.88,4.91,2,1,1,0,3.43,1,1,1,1,Brooklyn
3 bedrooms 2 baths Brooklyn Home 15m to Manhattan!,0%,,1.0,1.0,t,Bushwick,40.69786,-73.93305,10,3.0,5.0,$269.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,69,0,0,4.52,4.77,4.54,4.86,4.81,4.54,4.61,1,1,0,0,1.7,0,1,0,0,Brooklyn
ELEXEY'S COMFORT.,100%,99%,4.0,4.0,t,St. Albans,40.70474,-73.75667,3,1.0,1.0,$70.00 ,2,14,2.0,2.0,14.0,14.0,2.0,14.0,27,57,87,362,91,14,1,4.77,4.79,4.88,4.84,4.88,4.6,4.78,4,0,4,0,2.32,1,1,1,1,Queens
"Heaven in New York, Natural Room",100%,,3.0,3.0,t,Edenwald,40.88677,-73.83542,2,1.0,1.0,$91.00 ,30,31,30.0,30.0,31.0,31.0,30.0,31.0,30,60,90,179,20,0,0,4.7,4.8,5.0,4.75,4.55,4.7,4.7,3,1,2,0,0.52,0,1,1,1,Bronx
the coolest bedroom/apartment in harlem.,100%,100%,3.0,3.0,t,Harlem,40.81657,-73.94184,2,1.0,1.0,$76.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,27,57,87,177,77,1,0,4.79,4.88,4.57,4.95,4.86,4.77,4.74,3,1,2,0,1.83,1,0,1,1,Manhattan
Large Apartment In Brooklyn NYC Aprt #2,100%,69%,4.0,4.0,t,Midwood,40.61022,-73.97112,8,4.0,5.0,$364.00 ,4,180,1.0,4.0,1125.0,1125.0,1.4,1125.0,24,40,69,159,39,6,2,4.56,4.67,4.36,4.85,4.87,4.79,4.59,2,2,0,0,0.96,0,1,1,0,Brooklyn
Beautiful 2bdr apt in Brooklyn near to everything.,100%,100%,1.0,1.0,t,Fort Hamilton,40.61386,-74.03435,5,2.0,2.0,$99.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,22,52,231,42,1,0,4.69,4.95,4.69,4.87,4.69,4.77,4.72,1,1,0,0,1.06,0,0,1,1,Brooklyn
beautiful great bedroom in harlem,100%,100%,3.0,3.0,t,Harlem,40.81798,-73.94235,2,1.0,1.0,$80.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,26,56,86,176,60,1,1,4.82,4.92,4.7,4.92,4.97,4.93,4.85,3,1,2,0,1.44,1,0,1,1,Manhattan
STUDIO.STYLE.BEDROOM+PRIVATE.BATHROOM+TOP.LOCATION,100%,100%,1.0,1.0,t,Crown Heights,40.67483,-73.95463,2,1.0,1.0,$99.00 ,3,60,2.0,3.0,60.0,60.0,2.4,60.0,0,0,0,0,92,7,7,5.0,4.98,4.99,4.97,5.0,4.97,4.97,1,0,1,0,2.21,1,1,1,0,Brooklyn
Beach Break - Your Rockaway Home by the Sea,100%,100%,1.0,1.0,t,Rockaway Beach,40.5861,-73.81523,6,3.0,3.0,$190.00 ,2,90,2.0,2.0,90.0,90.0,2.0,90.0,21,39,67,216,73,20,0,4.96,4.97,4.97,4.99,5.0,4.92,4.85,1,1,0,0,2.22,1,1,1,0,Queens
Sunlit Bedroom w/ Private Bath Room in Brooklyn,100%,100%,1.0,1.0,t,Bushwick,40.70137,-73.92012,2,1.0,1.0,$89.00 ,3,31,3.0,3.0,1125.0,1125.0,3.0,1125.0,9,26,55,145,72,8,4,4.92,4.92,4.99,4.97,4.96,4.83,4.83,1,0,1,0,1.9,1,0,1,1,Brooklyn
Midwood townhouse,100%,62%,1.0,1.0,t,Midwood,40.61604,-73.95226,1,1.0,1.0,$69.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,28,52,82,82,28,13,0,4.89,4.96,4.93,4.93,5.0,4.86,4.89,1,0,1,0,0.66,1,1,1,0,Brooklyn
Bowery modern loft,91%,66%,2.0,2.0,t,Nolita,40.72285,-73.99344,6,2.0,3.0,$675.00 ,3,90,3.0,3.0,90.0,90.0,3.0,90.0,9,24,54,329,16,12,2,4.5,4.44,4.38,4.5,4.81,4.94,4.31,2,2,0,0,0.59,1,1,1,0,Manhattan
Traditional and cozy private room in best location,100%,99%,2.0,2.0,t,Hell's Kitchen,40.75573,-73.99452,2,1.0,1.0,$200.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,23,53,83,83,52,0,0,4.61,4.73,4.31,4.94,4.9,4.94,4.57,1,0,1,0,1.34,1,1,1,1,Manhattan
"Sunlit Large Bdrm heart of Astoria, 5min to Subway",90%,100%,1.0,1.0,t,Ditmars Steinway,40.77993,-73.9194,1,1.0,1.0,$75.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,1,1,0,0.02,0,0,0,0,Queens
Bushwick Awesome Apartment - 2,74%,48%,23.0,23.0,t,Bedford-Stuyvesant,40.68471,-73.91517,8,1.0,2.0,$125.00 ,30,1124,30.0,30.0,1124.0,1124.0,30.0,1124.0,0,0,0,0,2,0,0,4.5,4.0,4.5,5.0,5.0,5.0,4.5,23,6,17,0,0.05,0,1,1,0,Brooklyn
NEAR COLUMBIA PRESBYTERIAN HOSP Students/Visitors,100%,96%,34.0,34.0,t,Washington Heights,40.8402,-73.93977,1,1.0,1.0,$50.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,30,60,335,6,4,0,4.67,5.0,4.17,5.0,5.0,4.67,4.67,34,30,4,0,0.2,0,1,1,0,Manhattan
Charming Entire 2 Bdrm  in Heart of Williamsburg,100%,95%,1.0,1.0,t,Williamsburg,40.71625,-73.95504,4,2.0,2.0,$145.00 ,2,360,1.0,7.0,1125.0,1125.0,2.2,1125.0,2,5,28,221,102,17,6,4.71,4.77,4.71,4.98,4.98,4.95,4.72,1,1,0,0,2.8,0,0,1,0,Brooklyn
"Comfortable Simplistic, 8th Av walk to destination",100%,97%,1.0,1.0,t,Harlem,40.82305,-73.94074,2,1.0,1.0,$126.00 ,2,4,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,7,17,50,14,2,4.94,4.98,4.98,5.0,5.0,4.81,4.96,1,1,0,0,1.68,1,0,1,0,Manhattan
Heart of the City,100%,0%,2.0,2.0,t,Midtown,40.75842,-73.9718,3,1.0,2.0,$199.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,18,48,78,353,7,0,0,4.71,5.0,4.57,4.43,5.0,5.0,4.71,2,2,0,0,0.17,0,0,1,1,Manhattan
Brooklyn Home By The Pier,100%,84%,1.0,1.0,t,Canarsie,40.63259,-73.89117,3,1.0,1.0,$88.00 ,2,14,2.0,2.0,14.0,14.0,2.0,14.0,15,42,71,161,80,24,1,4.89,4.91,4.84,4.9,4.88,4.81,4.91,1,1,0,0,1.91,1,0,1,0,Brooklyn
Stylish & Tranquil East Village Three Bedroom,100%,97%,1.0,1.0,t,East Village,40.72483,-73.98865,7,3.0,4.0,$550.00 ,2,1125,2.0,3.0,1125.0,1125.0,2.3,1125.0,3,10,36,58,117,39,2,4.68,4.77,4.58,4.75,4.7,4.88,4.49,1,1,0,0,3.12,0,1,1,0,Manhattan
Hermoso Penthouse con terraza privada.,100%,99%,3.0,3.0,t,Sunnyside,40.74204,-73.91174,3,1.0,2.0,$78.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,89,29,2,4.71,4.73,4.65,4.83,4.8,4.79,4.58,3,0,3,0,2.24,0,1,1,1,Queens
