host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
100%,84%,0.0,0.0,t,Bedford-Stuyvesant,40.68288,-73.95646,2,1.0,1.0,$80.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,10,20,20,222,68,4,1,4.68,4.32,4.56,4.76,4.67,4.37,4.51,4,0,4,0,0.59,1,1,1,0,0,1,0,Brooklyn
100%,97%,1.0,1.0,t,Clinton Hill,40.68292,-73.96381,2,1.0,1.0,$89.00 ,3,90,3.0,3.0,90.0,90.0,3.0,90.0,0,10,40,303,292,10,2,4.92,4.92,4.94,4.98,4.98,4.83,4.9,1,0,1,0,2.54,1,1,1,0,0,1,0,Brooklyn
80%,44%,1.0,1.0,t,Lower East Side,40.72314,-73.99108,3,1.0,1.0,$185.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,10,35,310,117,8,1,4.76,4.85,4.83,4.82,4.92,4.89,4.62,2,1,1,0,1.15,0,1,1,0,0,0,0,Manhattan
100%,80%,3.0,3.0,t,Hell's Kitchen,40.7672,-73.98464,1,1.0,1.0,$141.00 ,28,360,28.0,30.0,90.0,360.0,28.5,292.3,7,37,67,342,68,2,0,4.87,4.83,4.9,4.95,4.95,5.0,4.83,4,1,3,0,1.93,1,1,1,0,0,1,0,Manhattan
0%,,1.0,1.0,t,East Flatbush,40.6327,-73.93184,2,3.0,1.0,$80.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,28,58,88,178,4,0,0,4.33,4.0,4.0,4.33,4.33,4.33,4.33,1,0,1,0,0.03,0,1,1,0,0,1,0,Brooklyn
100%,98%,3.0,3.0,t,Clinton Hill,40.68818,-73.96383,2,1.0,1.0,$91.00 ,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,6,25,55,330,493,24,1,4.48,4.65,4.4,4.73,4.73,4.72,4.57,2,0,2,0,5.06,0,1,1,1,0,1,0,Brooklyn
100%,57%,4.0,4.0,t,Clinton Hill,40.68513,-73.96648,3,1.0,2.0,$139.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,21,51,81,356,92,0,0,4.84,4.76,4.85,4.92,4.97,4.83,4.72,1,0,1,0,1.07,0,1,1,0,0,1,0,Brooklyn
100%,25%,1.0,1.0,t,East Village,40.72741,-73.98405,1,1.0,1.0,$160.00 ,14,30,14.0,14.0,30.0,30.0,14.0,30.0,0,1,31,306,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.04,0,0,1,0,0,0,0,Manhattan
100%,76%,1.0,1.0,t,Williamsburg,40.71512,-73.95899,2,1.0,1.0,$195.00 ,4,60,4.0,4.0,60.0,60.0,4.0,60.0,8,13,43,290,273,19,3,4.95,4.96,4.98,4.98,4.98,4.96,4.9,1,1,0,0,2.84,1,1,1,0,0,0,0,Brooklyn
0%,0%,2.0,2.0,t,East Village,40.72367,-73.98139,3,2.0,2.0,$125.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,4,6,11,175,34,0,0,4.41,4.24,4.45,4.41,4.34,4.66,4.59,1,1,0,0,0.33,0,1,1,0,0,0,0,Manhattan
0%,0%,1.0,1.0,t,Prospect Heights,40.67447,-73.96619,4,2.0,4.0,$121.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,3,33,63,338,4,0,0,3.5,4.0,4.0,3.67,4.67,3.67,3.33,1,1,0,0,0.05,0,1,1,0,0,0,0,Brooklyn
90%,59%,1.0,1.0,t,Boerum Hill,40.68442,-73.98068,13,5.0,5.0,$675.00 ,3,60,3.0,3.0,60.0,60.0,3.0,60.0,13,27,39,236,28,5,1,4.65,4.79,4.56,4.83,4.8,4.88,4.64,1,1,0,0,0.27,0,1,1,0,0,0,0,Brooklyn
100%,95%,2.0,2.0,t,Williamsburg,40.70978,-73.95165,2,1.0,1.0,$65.00 ,7,45,7.0,7.0,1125.0,1125.0,7.0,1125.0,3,6,22,22,233,12,0,4.8,4.81,4.58,4.93,4.87,4.85,4.76,1,0,1,0,2.36,0,1,1,0,0,1,0,Brooklyn
100%,33%,1.0,1.0,t,Sunnyside,40.74523,-73.92318,1,1.0,1.0,$78.00 ,90,90,90.0,90.0,90.0,90.0,90.0,90.0,0,0,28,303,29,0,0,4.91,4.86,4.91,4.95,4.95,4.73,4.91,1,0,1,0,0.24,0,1,1,0,0,1,0,Queens
75%,36%,1.0,1.0,t,Lower East Side,40.71992,-73.99167,4,2.0,2.0,$500.00 ,5,30,5.0,7.0,30.0,30.0,5.2,30.0,5,14,33,297,63,6,0,4.76,4.64,4.67,4.83,4.83,4.6,4.56,1,1,0,0,0.58,0,0,1,0,0,0,0,Manhattan
95%,47%,5.0,5.0,t,Carroll Gardens,40.67813,-74.00062,2,1.0,1.0,$179.00 ,4,45,3.0,7.0,45.0,45.0,4.1,45.0,12,35,65,336,171,2,0,4.6,4.76,4.77,4.72,4.69,4.54,4.6,3,3,0,0,1.64,0,1,1,0,0,0,0,Brooklyn
100%,50%,1.0,1.0,t,St. George,40.64633,-74.08156,2,1.0,1.0,$70.00 ,2,730,2.0,2.0,730.0,730.0,2.0,730.0,0,2,32,297,176,0,0,4.8,4.82,4.45,4.94,4.92,4.52,4.75,1,0,1,0,1.72,1,1,1,0,0,1,0,Staten Island
100%,93%,2.0,2.0,t,Tribeca,40.721,-74.00971,6,1.0,5.0,$250.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,1,31,304,13,1,0,4.85,4.85,4.62,5.0,5.0,5.0,4.77,1,1,0,0,0.58,0,1,1,0,0,0,0,Manhattan
86%,54%,3.0,3.0,t,Highbridge,40.83225,-73.93092,1,1.0,1.0,$45.00 ,1,21,1.0,1.0,21.0,21.0,1.0,21.0,9,30,60,150,288,11,2,4.89,4.95,4.84,4.96,4.98,4.53,4.89,3,0,3,0,2.28,1,1,1,0,0,1,0,Bronx
0%,0%,2.0,2.0,t,Fort Greene,40.69287,-73.97108,2,1.0,1.0,$110.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30,60,90,365,231,0,0,4.69,4.85,4.82,4.83,4.72,4.83,4.72,2,0,2,0,2.67,0,1,1,0,0,1,0,Brooklyn
43%,3%,3.0,3.0,t,West Village,40.73737,-74.00437,2,1.0,1.0,$146.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,2,88,1,0,4.75,4.74,4.68,4.89,4.94,4.98,4.65,1,1,0,0,0.87,0,1,1,0,0,0,0,Manhattan
100%,90%,1.0,1.0,t,Williamsburg,40.70894,-73.95234,2,,,$98.00 ,30,180,30.0,30.0,180.0,180.0,30.0,180.0,2,2,2,123,123,2,0,4.63,4.83,4.71,4.86,4.93,4.53,4.69,1,1,0,0,1.07,0,1,1,0,0,0,0,Brooklyn
100%,100%,3.0,3.0,t,Fort Greene,40.68834,-73.97578,2,1.0,1.0,$65.00 ,2,31,2.0,2.0,31.0,31.0,2.0,31.0,0,14,42,132,292,40,5,4.89,4.94,4.91,4.95,4.99,4.97,4.83,2,0,2,0,3.41,1,1,1,1,0,1,0,Brooklyn
100%,36%,5.0,5.0,t,Ridgewood,40.70309,-73.89963,16,5.0,10.0,$395.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,30,60,90,365,13,0,0,4.42,4.64,4.36,4.82,5.0,4.82,4.55,6,5,1,0,0.53,1,1,1,0,0,0,0,Queens
56%,25%,0.0,0.0,t,Morningside Heights,40.8063,-73.95985,2,1.0,,$75.00 ,31,730,31.0,31.0,730.0,730.0,31.0,730.0,6,36,66,341,131,2,0,4.65,4.6,4.49,4.86,4.87,4.88,4.61,1,0,1,0,1.08,0,1,1,0,0,1,0,Manhattan
100%,0%,1.0,1.0,t,Park Slope,40.67979,-73.97978,2,1.0,1.0,$150.00 ,30,200,30.0,30.0,200.0,200.0,30.0,200.0,15,19,19,145,58,0,0,4.7,4.8,4.35,4.84,4.94,4.88,4.69,1,1,0,0,0.56,0,1,1,0,0,0,0,Brooklyn
100%,100%,0.0,0.0,t,Prospect Heights,40.68022,-73.97457,2,1.0,,$150.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,0,257,58,7,1,4.69,4.77,4.62,4.79,4.83,4.77,4.61,3,0,3,0,0.54,0,1,1,0,0,1,0,Brooklyn
100%,31%,2.0,2.0,t,Williamsburg,40.7124,-73.94764,1,1.0,1.0,$81.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,4,34,64,339,28,0,0,4.76,4.75,4.75,4.75,4.83,4.5,4.67,2,0,2,0,0.21,1,1,1,0,0,1,0,Brooklyn
100%,84%,0.0,0.0,t,Bedford-Stuyvesant,40.6829,-73.95701,3,1.0,2.0,$90.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,30,211,21,1,0,4.3,4.15,4.05,4.0,4.15,4.2,4.15,4,0,4,0,0.25,1,1,1,0,0,1,0,Brooklyn
