host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
49%,63%,175.0,175.0,t,Hell's Kitchen,40.76023,-73.99355,5,3.0,3.0,$180.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,2,2,260,2,2,0,3.5,4.5,5.0,5.0,2.5,5.0,4.5,175,175,0,0,0.28,0,1,1,0,0,0,0,Manhattan
100%,85%,1.0,1.0,t,Bedford-Stuyvesant,40.69213,-73.94025,1,1.0,1.0,$40.00 ,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,21,26,26,26,10,10,1,4.4,4.6,4.4,4.8,4.6,4.5,4.5,1,0,1,0,1.27,1,0,1,0,0,1,0,Brooklyn
100%,89%,1.0,1.0,t,Upper East Side,40.77977,-73.9558,2,1.0,1.0,$82.00 ,4,365,4.0,4.0,365.0,365.0,4.0,365.0,0,4,4,4,6,6,1,5.0,5.0,4.83,5.0,5.0,5.0,5.0,1,1,0,0,0.8,1,1,1,0,0,0,0,Manhattan
99%,68%,114.0,114.0,t,Woodside,40.74311,-73.89789,1,1.0,1.0,$29.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,3,3,1,3.0,3.0,2.67,3.33,2.67,3.33,3.0,102,4,98,0,1.64,0,1,1,0,0,1,0,Queens
100%,97%,10.0,10.0,t,Tompkinsville,40.63371,-74.0928,4,1.0,2.0,$100.00 ,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,17,43,294,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10,1,9,0,0.46,0,1,1,0,0,0,0,Staten Island
100%,100%,5.0,5.0,t,Ozone Park,40.67694,-73.8385,2,,1.0,$90.00 ,5,29,5.0,5.0,29.0,29.0,5.0,29.0,9,29,52,327,17,17,3,4.71,4.76,4.88,4.94,4.88,4.59,4.24,4,4,0,0,2.35,0,1,1,0,0,0,0,Queens
100%,87%,43.0,43.0,t,Upper West Side,40.79808,-73.96129,2,1.0,1.0,$57.00 ,2,15,2.0,2.0,1125.0,1125.0,2.0,1125.0,8,18,41,69,28,28,5,4.57,4.75,4.64,4.86,4.89,4.82,4.71,42,0,42,0,3.59,0,1,1,0,0,1,0,Manhattan
100%,100%,2.0,2.0,t,Flatbush,40.65078,-73.96317,2,1.0,2.0,$120.00 ,30,365,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,23,298,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.16,0,1,1,1,0,0,0,Brooklyn
100%,87%,43.0,43.0,t,Upper West Side,40.80012,-73.96113,2,1.0,1.0,$57.00 ,2,10,2.0,2.0,1125.0,1125.0,2.0,1125.0,7,24,53,81,22,22,2,4.0,4.23,3.91,4.45,4.45,4.68,4.05,42,0,42,0,3.63,0,1,1,0,0,1,0,Manhattan
100%,95%,4.0,4.0,t,Bedford-Stuyvesant,40.68321,-73.91743,1,1.0,,$149.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,32,62,62,3,3,1,4.33,4.67,4.33,4.33,4.67,4.67,4.0,3,0,3,0,3.0,0,0,1,1,0,1,0,Brooklyn
100%,95%,2.0,2.0,t,Bedford-Stuyvesant,40.6919,-73.94456,1,1.0,1.0,$59.00 ,1,7,1.0,1.0,1125.0,1125.0,1.0,1125.0,5,5,5,5,30,30,4,4.8,4.83,4.8,4.9,4.83,4.8,4.8,2,0,2,0,5.26,1,1,1,1,0,1,0,Brooklyn
86%,99%,4.0,4.0,t,Bedford-Stuyvesant,40.68531,-73.93186,3,1.0,1.0,$41.00 ,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,13,37,67,157,31,31,2,4.29,4.32,4.23,4.68,4.48,4.52,4.35,4,3,1,0,12.24,0,1,1,1,0,1,0,Brooklyn
0%,28%,2.0,2.0,t,Bedford-Stuyvesant,40.68968,-73.92402,2,1.0,1.0,$100.00 ,1,5,1.0,1.0,5.0,5.0,1.0,5.0,29,59,89,89,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,0.14,0,1,1,0,0,1,0,Brooklyn
99%,98%,57.0,57.0,t,Midtown,40.74745,-73.98674,3,,2.0,$189.00 ,2,1125,2.0,7.0,1125.0,1125.0,2.3,1125.0,22,51,81,81,4,4,0,4.5,4.25,4.75,4.5,5.0,4.75,4.5,54,39,15,0,0.52,0,1,1,1,0,0,0,Manhattan
90%,99%,0.0,0.0,t,Forest Hills,40.73736,-73.85104,2,1.0,1.0,$118.00 ,1,14,1.0,1.0,14.0,14.0,1.0,14.0,30,60,90,365,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,0,4,0,0.19,0,0,1,1,0,1,0,Queens
94%,85%,1.0,1.0,t,Greenpoint,40.73132,-73.95524,2,1.0,1.0,$58.00 ,30,367,30.0,185.0,1125.0,1125.0,169.8,1125.0,5,23,53,328,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,38,10,28,0,0.39,0,1,1,0,0,1,0,Brooklyn
94%,85%,1.0,1.0,t,Greenpoint,40.72956,-73.95511,2,1.0,1.0,$58.00 ,30,367,30.0,185.0,1125.0,1125.0,169.8,1125.0,2,32,62,337,1,1,0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,38,10,28,0,0.88,0,1,1,0,0,1,0,Brooklyn
94%,85%,1.0,1.0,t,Greenpoint,40.72923,-73.95472,2,1.0,1.0,$58.00 ,30,367,30.0,185.0,1125.0,1125.0,169.8,1125.0,0,29,59,334,1,1,0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,38,10,28,0,0.6,0,1,1,0,0,1,0,Brooklyn
100%,87%,43.0,43.0,t,Upper West Side,40.79982,-73.96112,2,1.0,1.0,$54.00 ,2,10,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,40,70,98,20,20,0,4.45,4.4,4.45,4.75,4.7,4.8,4.6,42,0,42,0,6.98,0,1,1,0,0,1,0,Manhattan
100%,100%,9.0,9.0,t,East Village,40.72797,-73.98704,1,,2.0,$125.00 ,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0,0,10,40,220,4,4,1,4.75,4.75,5.0,5.0,5.0,5.0,3.75,23,23,0,0,0.55,1,1,1,1,0,0,0,Manhattan
100%,100%,9.0,9.0,t,East Village,40.72754,-73.98853,1,,1.0,$125.00 ,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0,0,0,0,180,2,2,1,4.5,4.5,4.5,3.5,4.5,5.0,4.5,23,23,0,0,0.38,1,1,1,1,0,0,0,Manhattan
100%,80%,2.0,2.0,t,Prospect-Lefferts Gardens,40.66023,-73.94491,2,1.0,1.0,$126.00 ,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,7,7,0,5.0,4.86,4.86,4.71,5.0,4.29,4.71,4,2,2,0,0.93,0,1,1,0,0,1,0,Brooklyn
100%,100%,5.0,5.0,t,Ozone Park,40.67515,-73.83944,3,1.0,2.0,$99.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,11,20,47,322,8,8,2,4.75,4.5,4.88,5.0,5.0,5.0,4.75,4,4,0,0,6.49,0,1,1,0,0,0,0,Queens
100%,96%,7.0,7.0,t,Arverne,40.59018,-73.79351,8,4.0,4.0,$200.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,184,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,3,0,0,0.3,1,1,1,0,0,0,0,Queens
95%,95%,0.0,0.0,t,Upper East Side,40.78119,-73.95532,2,1.0,1.0,$180.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,2,32,307,3,3,0,4.67,5.0,4.33,5.0,4.0,5.0,4.67,54,54,0,0,1.08,0,1,1,1,0,0,0,Manhattan
100%,83%,1.0,1.0,t,Prospect-Lefferts Gardens,40.66342,-73.94433,4,2.0,2.0,$140.00 ,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,2,32,62,152,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.27,0,1,1,1,0,0,0,Brooklyn
98%,50%,50.0,50.0,t,East Flatbush,40.66105,-73.93396,2,1.0,1.0,$52.00 ,6,1125,6.0,6.0,1125.0,1125.0,6.0,1125.0,0,0,0,222,2,2,0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,51,0,51,0,0.63,1,1,1,0,0,1,0,Brooklyn
91%,50%,1.0,1.0,t,Harlem,40.81138,-73.94468,2,1.0,1.0,$79.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,8,32,43,43,18,18,2,4.83,5.0,4.83,4.89,4.83,4.72,4.83,1,0,1,0,2.47,0,1,1,0,0,1,0,Manhattan
90%,49%,4.0,4.0,t,Bushwick,40.68312,-73.90927,4,2.0,2.0,$225.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,30,60,90,365,15,15,2,4.8,4.73,4.67,5.0,5.0,4.67,4.67,4,2,2,0,7.63,1,1,1,0,0,0,0,Brooklyn
100%,85%,4.0,4.0,t,Ridgewood,40.70549,-73.91141,1,,,$75.00 ,3,30,3.0,3.0,30.0,30.0,3.0,30.0,15,15,15,105,10,10,3,5.0,5.0,5.0,4.8,4.8,4.8,5.0,3,0,3,0,1.18,0,1,1,0,0,1,0,Queens
0%,43%,0.0,0.0,t,Kips Bay,40.7426,-73.98029,2,1.0,,$165.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,27,57,87,87,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0.29,0,1,1,0,0,0,0,Manhattan
100%,96%,21.0,21.0,t,Gramercy,40.73427,-73.98519,1,,1.0,$75.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,2,2,0,4.5,5.0,4.5,4.5,5.0,5.0,4.5,20,20,0,0,0.28,0,0,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,Williamsburg,40.71334,-73.94291,2,1.0,1.0,$200.00 ,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,0,0,0,0,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,1.17,0,1,1,0,0,0,0,Brooklyn
100%,79%,1.0,1.0,t,Williamsburg,40.70668,-73.95478,1,1.0,2.0,$61.00 ,4,10,4.0,4.0,10.0,10.0,4.0,10.0,11,11,11,11,7,7,1,4.57,4.43,4.71,4.71,5.0,4.71,4.43,1,0,1,0,3.82,0,1,1,0,0,1,0,Brooklyn
100%,100%,107.0,107.0,t,Financial District,40.70458,-74.00499,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,20,49,79,107,41,41,3,4.88,4.83,4.98,5.0,4.95,4.95,4.88,107,0,107,0,18.36,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.7044,-74.00531,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,27,57,87,115,18,18,0,4.83,4.94,4.94,4.94,4.89,5.0,4.94,107,0,107,0,2.51,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70463,-74.00592,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,8,8,0,4.88,5.0,4.88,5.0,4.88,5.0,4.75,107,0,107,0,0.94,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70644,-74.00408,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,5,5,0,4.8,5.0,4.6,5.0,5.0,5.0,5.0,107,0,107,0,0.62,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.7063,-74.00357,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,36,36,0,4.67,4.83,4.61,4.78,4.81,4.86,4.72,107,0,107,0,4.32,1,1,1,1,0,1,0,Manhattan
100%,93%,2.0,2.0,t,Bedford-Stuyvesant,40.69909,-73.93937,8,3.0,4.0,$244.00 ,2,30,2.0,3.0,30.0,1125.0,2.0,1117.5,4,4,21,119,43,43,6,4.95,5.0,4.95,5.0,4.98,4.74,4.95,1,1,0,0,37.94,1,1,1,0,0,0,0,Brooklyn
100%,100%,2.0,2.0,t,Chelsea,40.74971,-74.00278,4,1.0,3.0,$276.00 ,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,9,26,56,328,18,18,3,4.94,5.0,4.89,4.94,5.0,5.0,4.83,1,1,0,0,9.64,0,1,1,1,0,0,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70619,-74.00555,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,4,4,0,5.0,4.75,5.0,5.0,5.0,5.0,5.0,107,0,107,0,0.5,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70638,-74.00497,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,11,11,0,4.64,4.55,4.55,4.91,4.45,4.82,4.82,107,0,107,0,1.37,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70576,-74.00565,2,1.0,1.0,$212.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,2,2,0,4.5,4.0,4.5,3.5,5.0,5.0,4.0,107,0,107,0,0.25,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70615,-74.00379,2,1.0,1.0,$212.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,27,53,83,111,17,17,0,4.94,4.94,4.94,4.94,4.94,4.94,4.82,107,0,107,0,7.61,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70629,-74.00587,2,1.0,1.0,$212.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,1,1,0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,107,0,107,0,0.12,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70446,-74.00582,2,1.0,1.0,$212.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,107,0,107,0,0.25,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70596,-74.00373,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,7,7,0,4.71,4.29,4.86,5.0,4.57,5.0,4.57,107,0,107,0,1.14,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70653,-74.00379,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,8,8,0,4.63,4.88,4.5,4.88,5.0,5.0,4.88,107,0,107,0,0.99,1,1,1,1,0,1,0,Manhattan
100%,100%,107.0,107.0,t,Financial District,40.70648,-74.00353,2,1.0,1.0,$203.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,118,3,3,0,4.67,5.0,4.67,5.0,5.0,5.0,4.67,107,0,107,0,0.37,1,1,1,1,0,1,0,Manhattan
100%,100%,0.0,0.0,t,Bushwick,40.68948,-73.91873,5,2.0,3.0,$140.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,2,15,72,16,16,5,4.94,4.94,5.0,5.0,4.94,4.94,4.94,1,1,0,0,16.0,1,0,1,0,0,0,0,Brooklyn
100%,80%,2.0,2.0,t,Prospect-Lefferts Gardens,40.66146,-73.9451,2,1.0,1.0,$182.00 ,3,31,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,0,0,4,4,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,2,2,0,0.65,0,1,1,0,0,0,0,Brooklyn
90%,85%,1.0,1.0,t,Williamsburg,40.71205,-73.96308,2,,1.0,$129.00 ,6,1125,6.0,9.0,1125.0,1125.0,6.2,1125.0,1,2,2,2,11,11,3,5.0,5.0,5.0,5.0,5.0,5.0,4.91,2,2,0,0,3.03,1,1,1,0,0,0,0,Brooklyn
99%,14%,88.0,88.0,t,Bedford-Stuyvesant,40.69361,-73.92961,1,1.0,1.0,$33.00 ,30,365,90.0,90.0,365.0,365.0,90.0,365.0,0,1,31,306,1,1,0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,162,0,162,0,0.44,1,1,1,0,0,1,0,Brooklyn
100%,98%,0.0,0.0,t,Bedford-Stuyvesant,40.68056,-73.91099,6,2.0,2.0,$216.00 ,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,30,60,90,365,9,9,0,4.44,4.67,4.56,4.78,4.78,4.0,4.22,5,5,0,0,3.07,0,0,1,1,0,0,0,Brooklyn
100%,100%,2.0,2.0,t,Canarsie,40.64172,-73.88724,1,1.0,,$52.00 ,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0,0,1,1,217,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0,2,0,0.16,1,1,1,1,0,1,0,Brooklyn
100%,97%,1.0,1.0,t,Jamaica,40.6843,-73.77658,2,,1.0,$50.00 ,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,4,10,213,20,20,3,4.6,5.0,4.6,5.0,5.0,4.7,4.9,1,1,0,0,5.31,0,1,1,1,0,0,0,Queens
100%,100%,0.0,0.0,t,East Elmhurst,40.75808,-73.8577,4,2.0,2.0,$175.00 ,2,21,2.0,2.0,21.0,1125.0,2.0,438.5,30,54,83,172,6,6,1,4.83,4.67,4.83,4.67,5.0,5.0,4.5,1,1,0,0,3.46,0,1,1,1,0,0,0,Queens
100%,95%,1.0,1.0,t,Crown Heights,40.66962,-73.93203,1,1.0,1.0,$58.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,18,36,65,65,26,26,5,4.77,4.77,4.65,4.81,4.81,4.69,4.69,1,0,1,0,6.24,1,0,1,1,0,1,0,Brooklyn
100%,98%,0.0,0.0,t,Hell's Kitchen,40.76432,-73.99453,4,1.0,2.0,$275.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,13,258,4,4,1,4.75,4.75,5.0,5.0,5.0,5.0,4.75,7,7,0,0,0.72,0,1,1,1,0,0,0,Manhattan
100%,98%,0.0,0.0,t,Hell's Kitchen,40.75664,-73.99892,6,2.0,3.0,$335.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,9,39,129,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7,7,0,0,0.24,0,1,1,1,0,0,0,Manhattan
99%,100%,16.0,16.0,t,Chelsea,40.75123,-73.99684,2,,1.0,$83.00 ,1,365,1.0,30.0,365.0,365.0,10.3,365.0,9,22,52,80,12,12,2,4.58,4.5,4.33,4.5,4.5,4.83,4.33,14,14,0,0,12.0,0,1,1,1,0,0,0,Manhattan
43%,50%,0.0,0.0,t,Prospect-Lefferts Gardens,40.65749,-73.9594,2,1.0,1.0,$85.00 ,30,45,30.0,30.0,45.0,45.0,30.0,45.0,13,15,45,135,1,1,0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,1,1,0,0,0.28,0,1,1,0,0,0,0,Brooklyn
100%,81%,3.0,3.0,t,East New York,40.66853,-73.87581,4,2.0,2.0,$118.00 ,2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0,19,38,67,156,19,19,4,4.79,4.79,4.74,4.84,5.0,4.53,4.79,1,1,0,0,6.55,0,1,1,0,0,0,0,Brooklyn
49%,63%,175.0,175.0,t,Chinatown,40.71797,-73.99412,2,,1.0,$125.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,6,36,66,341,3,3,0,4.67,5.0,5.0,5.0,4.67,5.0,4.67,175,175,0,0,0.82,0,1,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,Midtown,40.74995,-73.98565,1,2.0,1.0,$100.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,19,49,324,1,1,0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1,0,1,0,0.37,0,1,1,1,0,1,0,Manhattan
100%,97%,2.0,2.0,t,Hell's Kitchen,40.76246,-73.99111,2,1.0,1.0,$131.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,9,27,57,57,34,34,2,4.94,4.85,4.91,4.97,4.94,4.91,4.88,2,0,2,0,6.71,1,1,1,0,0,1,0,Manhattan
88%,58%,1.0,1.0,t,Brownsville,40.6679,-73.9231,6,3.0,5.0,$303.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,17,32,62,152,18,18,0,4.67,4.78,4.83,4.78,4.83,4.0,4.44,2,2,0,0,4.82,1,1,1,0,0,0,0,Brooklyn
100%,86%,4.0,4.0,t,Harlem,40.81527,-73.94344,4,,2.0,$57.00 ,90,1125,90.0,90.0,1125.0,1125.0,90.0,1125.0,0,0,30,59,1,1,0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3,2,1,0,0.14,0,1,1,0,0,1,0,Manhattan
100%,100%,1.0,1.0,t,Williamsburg,40.71269,-73.94704,2,1.0,1.0,$275.00 ,3,365,3.0,3.0,365.0,365.0,3.0,365.0,0,10,40,40,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.82,0,1,1,0,0,0,0,Brooklyn
60%,50%,0.0,0.0,t,Financial District,40.70795,-74.00974,2,,1.0,$145.00 ,30,1125,7.0,30.0,1125.0,1125.0,28.8,1125.0,0,9,9,284,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.32,0,1,1,0,0,0,0,Manhattan
100%,100%,0.0,0.0,t,Mott Haven,40.80921,-73.92677,4,1.0,2.0,$54.00 ,1,180,1.0,1.0,1125.0,1125.0,1.0,1125.0,20,44,72,347,25,25,6,4.6,4.68,4.68,4.8,4.72,4.56,4.52,2,0,2,0,20.27,0,1,1,1,0,1,0,Bronx
100%,100%,1.0,1.0,t,Bushwick,40.69821,-73.93217,6,3.0,2.0,$134.00 ,1,9,1.0,1.0,1125.0,1125.0,1.0,1125.0,6,8,33,108,73,73,9,4.74,4.78,4.6,4.73,4.84,4.68,4.68,2,1,1,0,15.76,1,1,1,1,0,1,0,Brooklyn
93%,85%,17.0,17.0,t,Bedford-Stuyvesant,40.68837,-73.95158,2,1.0,1.0,$46.00 ,35,367,30.0,35.0,1125.0,1125.0,34.4,1125.0,14,44,74,349,1,1,1,1.0,1.0,1.0,3.0,3.0,1.0,1.0,26,0,26,0,1.0,0,1,1,0,0,1,0,Brooklyn
100%,96%,12.0,12.0,t,East Elmhurst,40.76366,-73.86133,1,1.0,,$88.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,27,57,87,176,4,4,1,5.0,5.0,4.75,5.0,5.0,5.0,5.0,10,3,7,0,4.0,1,1,1,0,0,1,0,Queens
100%,65%,1.0,1.0,t,Upper East Side,40.7593,-73.9597,4,2.0,2.0,$239.00 ,30,1125,30.0,30.0,365.0,1125.0,30.0,371.9,15,45,75,350,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,34,34,0,0,0.19,0,1,1,0,0,0,0,Manhattan
49%,63%,175.0,175.0,t,Hell's Kitchen,40.76053,-73.99285,5,3.0,3.0,$190.00 ,30,364,30.0,30.0,364.0,364.0,30.0,364.0,24,24,24,275,3,3,0,4.33,4.33,5.0,5.0,4.33,4.33,3.67,175,175,0,0,0.51,0,1,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,Harlem,40.82571,-73.94884,4,1.0,2.0,$77.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,16,33,63,63,14,14,2,4.64,4.71,4.57,4.71,4.64,4.57,4.71,2,0,2,0,3.62,1,0,1,0,0,1,0,Manhattan
49%,63%,175.0,175.0,t,Chinatown,40.71882,-73.99607,2,,,$120.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,20,295,1,1,0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,175,175,0,0,0.18,0,1,1,0,0,0,0,Manhattan
94%,85%,1.0,1.0,t,Greenpoint,40.73121,-73.95673,6,3.0,3.0,$163.00 ,30,367,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,62,1,1,0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,38,10,28,0,0.15,0,1,1,0,0,0,0,Brooklyn
94%,85%,1.0,1.0,t,Greenpoint,40.72973,-73.95445,6,3.0,3.0,$149.00 ,30,367,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,28,303,3,3,0,3.67,4.33,3.67,3.67,3.67,5.0,3.67,38,10,28,0,0.44,0,1,1,0,0,0,0,Brooklyn
94%,85%,1.0,1.0,t,Greenpoint,40.7294,-73.95537,6,3.0,3.0,$164.00 ,30,367,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,62,1,1,0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,38,10,28,0,0.47,0,1,1,0,0,0,0,Brooklyn
80%,80%,0.0,0.0,t,Bedford-Stuyvesant,40.69138,-73.94051,2,1.0,1.0,$58.00 ,30,367,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,16,46,321,3,3,0,4.33,5.0,4.67,5.0,4.0,4.67,4.33,11,0,11,0,0.44,0,1,1,0,0,1,0,Brooklyn
100%,56%,4.0,4.0,t,Bedford-Stuyvesant,40.67862,-73.94888,1,1.0,1.0,$30.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,0,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,0,4,0,0.19,0,1,1,0,0,1,0,Brooklyn
100%,99%,51.0,51.0,t,Midtown,40.74463,-73.99042,2,,1.0,$251.00 ,2,365,2.0,2.0,2.0,365.0,2.0,35.8,30,58,58,72,1,1,0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,49,29,20,0,0.19,0,1,1,1,0,1,0,Manhattan
100%,99%,51.0,51.0,t,Flatiron District,40.74295,-73.99012,2,,1.0,$281.00 ,2,365,2.0,2.0,2.0,365.0,2.0,35.6,30,58,58,72,11,11,0,4.55,4.82,4.73,4.45,4.64,4.91,4.55,49,29,20,0,1.69,0,1,1,1,0,1,0,Manhattan
100%,99%,51.0,51.0,t,Midtown,40.74528,-73.98984,2,,1.0,$216.00 ,2,365,2.0,2.0,2.0,28.0,2.0,26.7,27,57,87,354,65,65,5,4.62,4.8,4.83,4.69,4.54,4.97,4.62,49,29,20,0,17.73,0,1,1,1,0,1,0,Manhattan
